Date,Region_Name,Area_Code,Average_Price_SA
1996-02-01,West Midlands Region,E12000005,48978.26262
1996-02-01,North East,E12000001,40774.16031
1996-02-01,England and Wales,K04000001,52477.69437
1996-03-01,Wales,W92000004,42118.33507
1996-03-01,England,E92000001,52976.34585
1996-03-01,South East,E12000008,64639.0299
1996-03-01,West Midlands Region,E12000005,49028.44012
1996-03-01,East of England,E12000006,55830.33552
1996-03-01,South West,E12000009,53988.24794
1996-03-01,East Midlands,E12000004,45400.10926
1996-03-01,North West,E12000002,43294.49487
1996-03-01,London,E12000007,76000.07869
1996-03-01,Yorkshire and The Humber,E12000003,43810.35365
1996-03-01,North East,E12000001,41292.29109
1996-03-01,England and Wales,K04000001,52406.54814
1996-04-01,Wales,W92000004,42771.10007
1996-04-01,England,E92000001,53095.72507
1996-04-01,Yorkshire and The Humber,E12000003,43802.65211
1996-04-01,North West,E12000002,42911.33931
1996-04-01,London,E12000007,76479.64857
1996-04-01,East Midlands,E12000004,45167.39206
1996-04-01,West Midlands Region,E12000005,48760.20059
1996-04-01,South West,E12000009,54244.5345
1996-04-01,South East,E12000008,65060.31945
1996-04-01,East of England,E12000006,55940.92312
1996-04-01,North East,E12000001,40907.54515
1996-04-01,England and Wales,K04000001,52500.21038
1996-05-01,England,E92000001,53284.04267
1996-05-01,Wales,W92000004,42739.7048
1996-05-01,East Midlands,E12000004,45172.98968
1996-05-01,North East,E12000001,41616.0035
1996-05-01,North West,E12000002,43124.74527
1996-05-01,West Midlands Region,E12000005,49450.6854
1996-05-01,South West,E12000009,54442.5616
1996-05-01,Yorkshire and The Humber,E12000003,43965.99514
1996-05-01,East of England,E12000006,55937.82599
1996-05-01,South East,E12000008,65217.81944
1996-05-01,London,E12000007,76471.15798
1996-05-01,England and Wales,K04000001,52706.60234
1996-06-01,Wales,W92000004,42617.43936
1996-06-01,England,E92000001,53425.39558
1996-06-01,East of England,E12000006,56190.65671
1996-06-01,London,E12000007,77182.18756
1996-06-01,West Midlands Region,E12000005,49179.18826
1996-06-01,North East,E12000001,41439.22335
1996-06-01,North West,E12000002,43165.00932
1996-06-01,South East,E12000008,65428.05811
1996-06-01,South West,E12000009,54632.1509
1996-06-01,Yorkshire and The Humber,E12000003,44080.73535
1996-06-01,East Midlands,E12000004,45624.41427
1996-06-01,England and Wales,K04000001,52832.36471
